stage,script,purpose,required_inputs,expected_outputs,notes
01_data_preparation,pipeline/01_data_preparation/embed_corpus.py,Embed a prepared corpus into the normalized float32 matrix used by classification,Prepared corpus,Embedding memmap and metadata,Compatible reader utility; exact historical embedding command remains inferred
02_topic_modeling,pipeline/02_topic_modeling/six_topic_discourse_catalog.py,Define the six environmental-domain catalog,None,Catalog rows used by assignment,Code catalog; CSV/JSON copies are in catalog/
02_topic_modeling,pipeline/02_topic_modeling/run_6topic_discourse_cosine.py,Assign chunks/documents to six domains with embedding cosine similarity,Prepared corpus embeddings and config,Cosine assignment outputs,Historical positive mask uses best_score >= 0.65; score_gap is diagnostic unless sensitivity option is enabled
02_topic_modeling,pipeline/02_topic_modeling/run_hf_gemma_domain_validation_colab.py,Validate provisional domain assignments with binary Gemma decisions,Cosine positive assignments,Validation output with v_gemma,"Sanitized historical runner; AutoModelForCausalLM, batch_size 256, save_every 2048, max_new_tokens 1"
02_topic_modeling,pipeline/02_topic_modeling/materialize_adjusted_full_validation_output.py,Materialize validated or adjusted domain assignments,Validation output and optional study specific adjustment files,Adjusted full and yes-only assignment tables,Historical default applies T2 secondary recovery and records rows outside the full input; generic no-T2 route is explicit
02_topic_modeling,pipeline/02_topic_modeling/run_6topic_micro_unsupervised.py,Run BERTopic separately for each source-domain subgroup,Validated six-domain corpus and embeddings,Source-domain microtopic outputs,Requires BERTopic dependencies
02_topic_modeling,pipeline/02_topic_modeling/build_microtopic_merge_review_workbook.py,Create the workbook for manual microtopic merge review,Raw BERTopic outputs,Review workbook and CSV templates,Auxiliary template; original human merge decisions must be supplied to reproduce the reviewed route exactly
02_topic_modeling,pipeline/02_topic_modeling/materialize_microtopic_group_review_mapping.py,Convert reviewed merge decisions into a microtopic mapping,Review workbook or CSV decisions,Microtopic-to-merged-group mapping,Requires local review decisions
02_topic_modeling,pipeline/02_topic_modeling/build_merged_microtopic_root.py,Build merged microtopic outputs from raw BERTopic outputs and mapping,Raw microtopic outputs and mapping,Merged microtopic root,Supports corporate selection
03_topic_description_and_interpretation,pipeline/03_topic_description_and_interpretation/build_corporate_focus_stage12_inputs.py,Prepare selected microtopics and annual evidence for Gemma stages,Merged microtopic root and corporate review outputs,Stage 1/2 input files,No data bundled
03_topic_description_and_interpretation,pipeline/03_topic_description_and_interpretation/build_corporate_focus_colab_package.py,Package Stage 1/2 inputs for Colab,Stage 1/2 input files,Upload zip,Generated zip ignored
03_topic_description_and_interpretation,pipeline/03_topic_description_and_interpretation/build_corporate_focus_drive_colab_bundle.py,Create Drive-oriented Colab runner bundle,Stage 1/2 input files,Colab bundle with current runner scripts,Packages historical Stage 1/2 inputs; Stage 2 max_new_tokens defaults to 650 to match observed final outputs
03_topic_description_and_interpretation,pipeline/03_topic_description_and_interpretation/restore_corporate_focus_colab_outputs.py,Restore downloaded Colab/Gemma outputs,Downloaded result folders and local bundle manifest,Restored output folders,Expected counts come from the bundle manifest
03_topic_description_and_interpretation,pipeline/03_topic_description_and_interpretation/run_hf_gemma_micro_topic_year_summaries_colab.py,Generate annual microtopic summaries with Gemma,Year-evidence CSV,Annual summaries,Historical loader restored to AutoModelForCausalLM; requires model access and GPU
03_topic_description_and_interpretation,pipeline/03_topic_description_and_interpretation/run_hf_gemma_micro_topic_evolution_synthesis_colab.py,Generate temporal evolution narratives with Gemma,Selected topics annual summaries and evidence,Evolution narratives,Historical loader restored to AutoModelForCausalLM; requires model access and GPU
04_classification_and_review,pipeline/04_classification_and_review/build_corporate_focus_review.py,Build corporate-centered inclusion/review tables,Merged microtopics and cross-source matches,Corporate/noncorporate review outputs,"Initial threshold 0.60; primary threshold 0.65 is reference/review-band metadata, not a sole automatic rule"
04_classification_and_review,pipeline/04_classification_and_review/build_corporate_focus_hybrid_review_workbook.py,Build post-synthesis human-review workbook for corporate selection,Review tables pair metadata selected topics and Stage 2 narratives,Review workbook,Run after temporal synthesis
04_classification_and_review,pipeline/04_classification_and_review/build_corporate_focus_override_packages.py,Apply manual override packages to corporate selection,Review outputs and override workbook,Updated review and Stage 1/2 inputs,Override outputs ignored
04_classification_and_review,pipeline/04_classification_and_review/run_corporate_focus_stage12_prep.py,Wrapper for corporate-focus Stage 1/2 preparation,Review outputs and merged microtopic root,Stage 1/2 inputs,Convenience wrapper using initial threshold 0.60 and primary threshold 0.65 by default
05_cross_source_comparison,pipeline/05_cross_source_comparison/build_cross_source_microtopic_profiles.py,Build microtopic profile text for cross-source matching,Merged microtopic outputs and narratives,Profile table,Prerequisite for corporate selection
05_cross_source_comparison,pipeline/05_cross_source_comparison/embed_cross_source_microtopic_profiles.py,Embed microtopic profiles,Profile table and embedding config,Profile embeddings,Embeddings ignored
05_cross_source_comparison,pipeline/05_cross_source_comparison/match_cross_source_microtopics.py,Match microtopics across source pairs by cosine similarity,Profile embeddings and metadata,Candidate pair tables,Prerequisite for corporate selection
shared,pipeline/shared/*.py,Shared helpers for retained scripts,None,Helper modules,Command-line scripts add the shared directory automatically
